Input_FID,FID_1,index,tile,confidence,diameter_k,res,lat,long,OBJECTID_2,OBJECTID,Shape_Leng,Unit,UnitDesc,SphArea_km,id,area,lat_1,Shape_Le_1,area_pol,Shape_Le_2,Shape_Area
"59","351689","8221",tile_2444_49_45,0.77457300000,0.12129000000,5m,0.08696469300,-176.40728990000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,12.34660000000,0.22868080032,0.00351406737
"129","351763","7910",tile_2396_48_47,0.21990600000,0.06543000000,5m,0.18074224000,-176.27325850000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,37.85680000000,0.53462744136,0.01077469494
"209","351844","7633",tile_2347_47_48,0.46829800000,0.16761000000,5m,0.27395188700,-176.14358250000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,13.56510000000,0.32720147532,0.00386087189
"200","351835","7627",tile_2346_47_47,0.95531800000,0.18868000000,5m,0.26185161700,-176.25477150000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,6.41301000000,0.17434725411,0.00182525376
"196","351831","7623",tile_2344_47_45,0.83106100000,0.08975000000,5m,0.25910732300,-176.43510050000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,6.85696000000,0.18410857525,0.00195161014
"186","351821","7613",tile_2342_47_43,0.37903000000,0.12967000000,5m,0.24956458600,-176.54302340000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,2.80865000000,0.11369693407,0.00079939048
"177","351812","7598",tile_2341_47_42,0.97084700000,0.12522000000,5m,0.24164879700,-176.66743500000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,4.62547000000,0.14558932890,0.00131648801
"183","351818","7589",tile_2339_47_40,0.66964600000,0.13619000000,5m,0.24536523600,-176.81707560000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,7.12188000000,0.18908478367,0.00202701030
"198","351833","7585",tile_2337_47_38,0.93662100000,0.10842000000,5m,0.25989399100,-176.93316010000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,6.80910000000,0.19072615024,0.00193798635
"190","351825","381",tile_0039_6_5,0.99503100000,0.49936000000,40m,0.25440902800,-177.10762890000,"206",828.00000000000,389627.67937999999,AHi,Amazonian and Hesperian impact unit,12403.70000000000,206.00000000000,11159.60000000000,1.04816000000,503060.49894500000,12.71140000000,0.23282942777,0.00361787083
